Model,Metric,Mean,Std,Median,CI_Lower,CI_Upper
BERT,accuracy,0.9636733333333334,0.0104347688043387,0.9633333333333334,0.94,0.9833333333333333
BERT,precision,0.9598665411728425,0.01570403536241075,0.9605263157894737,0.9281045751633987,0.98710088350113
BERT,recall,0.9663003317087544,0.014092419253705642,0.9668874172185431,0.9354663394109396,0.9925386954118297
BERT,f1,0.9629621383322867,0.010825683529403385,0.9634793995683488,0.9407321559970567,0.9831677983851896
Regex,accuracy,0.5354366666666667,0.028551870730693325,0.5366666666666666,0.47991666666666666,0.5900833333333332
Regex,precision,1.0,0.0,1.0,1.0,1.0
Regex,recall,0.054010274649491596,0.018670655816650648,0.053384223918575065,0.02054445065697512,0.09303100775193798
Regex,f1,0.10189260795193382,0.03346755509557895,0.10135754907356448,0.04026174496644295,0.17022573949143746
Ensemble,accuracy,0.9631733333333334,0.010659214063168285,0.9633333333333334,0.94325,0.9833333333333333
Ensemble,precision,0.9592747010937072,0.016477223427201874,0.96,0.9246445441662731,0.987012987012987
Ensemble,recall,0.9657115176621975,0.014514897469565042,0.9662162162162162,0.9354733975701717,0.9930082070707071
Ensemble,f1,0.9623594355102407,0.01115833065082419,0.9627118644067797,0.9399210282922665,0.9828208015200027
