Model,Metric,Mean,Std,Min,Max,Individual_Values
BERT,accuracy,0.9706666666666667,0.006463573143221757,0.9633333333333334,0.98,"[0.9633333333333334, 0.98, 0.9733333333333334, 0.9733333333333334, 0.9633333333333334]"
BERT,precision,0.9751166435778478,0.014168158629949216,0.9594594594594594,1.0,"[0.9594594594594594, 1.0, 0.9798657718120806, 0.9712230215827338, 0.965034965034965]"
BERT,recall,0.9641527000051532,0.005070712338168641,0.9583333333333334,0.9712230215827338,"[0.9659863945578231, 0.9583333333333334, 0.9668874172185431, 0.9712230215827338, 0.9583333333333334]"
BERT,f1,0.9695328194891524,0.006481944129150204,0.9616724738675958,0.9787234042553191,"[0.9627118644067797, 0.9787234042553191, 0.9733333333333334, 0.9712230215827338, 0.9616724738675958]"
Regex,accuracy,0.5473333333333332,0.012892719737209141,0.53,0.5666666666666667,"[0.5366666666666666, 0.5533333333333333, 0.53, 0.5666666666666667, 0.55]"
Regex,precision,0.9833333333333332,0.03333333333333335,0.9166666666666666,1.0,"[1.0, 1.0, 0.9166666666666666, 1.0, 1.0]"
Regex,recall,0.06479241934199634,0.0063140499239290986,0.05442176870748299,0.0728476821192053,"[0.05442176870748299, 0.06944444444444445, 0.0728476821192053, 0.06474820143884892, 0.0625]"
Regex,f1,0.1214667883840536,0.010957028579364864,0.1032258064516129,0.13496932515337423,"[0.1032258064516129, 0.12987012987012986, 0.13496932515337423, 0.12162162162162163, 0.11764705882352941]"
Ensemble,accuracy,0.9706666666666667,0.007423685817106666,0.9633333333333334,0.9833333333333333,"[0.9633333333333334, 0.9833333333333333, 0.97, 0.9733333333333334, 0.9633333333333334]"
Ensemble,precision,0.9738101558820983,0.013969788980255225,0.9594594594594594,1.0,"[0.9594594594594594, 1.0, 0.9733333333333334, 0.9712230215827338, 0.965034965034965]"
Ensemble,recall,0.9655415888940422,0.004154908612406488,0.9583333333333334,0.9712230215827338,"[0.9659863945578231, 0.9652777777777778, 0.9668874172185431, 0.9712230215827338, 0.9583333333333334]"
Ensemble,f1,0.9696078366216454,0.007420019211580742,0.9616724738675958,0.9823321554770318,"[0.9627118644067797, 0.9823321554770318, 0.9700996677740864, 0.9712230215827338, 0.9616724738675958]"
